Address_Hex,Address_Dec,Name,Active,Status
0x0724,1828,Ausgang 0x0724,False,Inactive
0x0725,1829,Ausgang 0x0725,False,Inactive
0x0726,1830,Ausgang 0x0726,False,Inactive
0x0727,1831,Ausgang 0x0727,False,Inactive
0x0728,1832,Ausgang 0x0728,False,Inactive
0x0729,1833,Ausgang 0x0729,False,Inactive
0x072A,1834,Ausgang 0x072A,False,Inactive
0x072B,1835,Ausgang 0x072B,False,Inactive
0x072C,1836,Ausgang 0x072C,False,Inactive
0x072D,1837,Ausgang 0x072D,False,Inactive
0x072E,1838,Ausgang 0x072E,False,Inactive
0x072F,1839,Ausgang 0x072F,False,Inactive
0x0730,1840,Ausgang 0x0730,False,Inactive
0x0731,1841,Ausgang 0x0731,False,Inactive
0x0732,1842,Ausgang 0x0732,False,Inactive
0x0733,1843,Ausgang 0x0733,False,Inactive
0x0734,1844,Ausgang 0x0734,False,Inactive
0x0735,1845,Ausgang 0x0735,False,Inactive
0x0736,1846,Ausgang 0x0736,False,Inactive
0x0737,1847,Ausgang 0x0737,False,Inactive
0x0738,1848,Ausgang 0x0738,False,Inactive
0x0739,1849,Ausgang 0x0739,False,Inactive
0x073A,1850,Ausgang 0x073A,False,Inactive
0x073B,1851,Ausgang 0x073B,False,Inactive
0x073C,1852,Ausgang 0x073C,False,Inactive
0x073D,1853,Ausgang 0x073D,False,Inactive
0x073E,1854,Ausgang 0x073E,False,Inactive
0x073F,1855,Ausgang 0x073F,False,Inactive
0x0740,1856,Ausgang 0x0740,False,Inactive
0x0741,1857,Ausgang 0x0741,False,Inactive
0x0742,1858,Ausgang 0x0742,False,Inactive
0x0743,1859,Ausgang 0x0743,False,Inactive
0x0744,1860,Ausgang 0x0744,False,Inactive
0x0745,1861,Ausgang 0x0745,False,Inactive
0x0746,1862,Ausgang 0x0746,False,Inactive
0x0747,1863,Ausgang 0x0747,False,Inactive
0x0748,1864,Ausgang 0x0748,False,Inactive
0x0749,1865,Ausgang 0x0749,False,Inactive
0x074A,1866,Ausgang 0x074A,False,Inactive
0x074B,1867,Ausgang 0x074B,False,Inactive
0x074C,1868,Ausgang 0x074C,False,Inactive
0x074D,1869,Ausgang 0x074D,False,Inactive
0x074E,1870,Ausgang 0x074E,False,Inactive
0x074F,1871,Ausgang 0x074F,False,Inactive
0x0750,1872,Ausgang 0x0750,False,Inactive
0x0751,1873,Ausgang 0x0751,False,Inactive
0x0752,1874,Ausgang 0x0752,False,Inactive
